PATIO;MES;SIMPLE;LESIONADOS;VICTIMA MORTAL;ISV
Brasil_AL;Julio;30;2;0;0.58
Brasil_AL;Agosto;36;5;0;0.74
Brasil_AL;Septiembre;28;6;0;0.71
Brasil_AL;Octubre;20;2;0;0.7
Brasil_ZN;Julio;25;4;0;0.71
Brasil_ZN;Agosto;35;1;0;0.86
Brasil_ZN;Septiembre;24;4;0;0.66
Brasil_ZN;Octubre;17;1;0;0.72
Cipres_AL;Julio;1;0;0;0.1
Cipres_AL;Agosto;7;1;0;0.56
Cipres_AL;Septiembre;4;1;0;0.65
Cipres_AL;Octubre;2;0;0;0.17
CIPRES;Julio;8;1;0;0.41
CIPRES;Agosto;12;3;0;0.78
CIPRES;Septiembre;15;1;0;0.54
CIPRES;Octubre;9;4;0;0.8
MARIA JUANA;Julio;36;3;0;0.79
MARIA JUANA;Agosto;34;6;0;0.87
MARIA JUANA;Septiembre;40;6;0;1
MARIA JUANA;Octubre;17;4;0;0.88
Suba Salitre_ZN;Julio;35;1;0;0.75
Suba Salitre_ZN;Agosto;27;2;0;0.56
Suba Salitre_ZN;Septiembre;24;1;1;0.76
Suba Salitre_ZN;Octubre;11;0;0;0.34
San Bernardino;Julio;61;9;2;1
San Bernardino;Agosto;76;10;0;0.77
San Bernardino;Septiembre;69;7;0;0.66
San Bernardino;Octubre;35;4;0;0.63
TIERRA BUENA;Julio;61;9;0;0.9
TIERRA BUENA;Agosto;72;15;0;1.15
TIERRA BUENA;Septiembre;64;12;0;0.94
TIERRA BUENA;Octubre;35;6;1;1.2
