,estacion,provincia,temp_max,temp_min,temp_med,viento_racha,viento_vel_max,prec_dia,prec_0_6h,prec_6_12h,prec_12_18h,prec_18_24h,fecha,diff_temp_min_max,temp_max_shifted,dif_prev_temp_max,llueve,start_of_streak,estacion_anterior,streak_id,dias_seguidos_lloviendo
0,A Cañiza,Pontevedra,17.0,5.3,11.2,18.0,13.0,0.0,0.0,0.0,0.0,0.0,2019-01-01,11.7,15.2,1.8000000000000007,0,True,,1,0
1,A Cañiza,Pontevedra,11.6,0.0,5.8,18.0,13.0,0.0,0.0,0.0,0.0,0.0,2019-01-02,11.6,10.8,0.7999999999999989,0,False,A Cañiza,1,0
2,A Cañiza,Pontevedra,14.5,1.6,8.1,18.0,13.0,0.0,0.0,0.0,0.0,0.0,2019-01-03,12.9,16.2,-1.6999999999999993,0,False,A Cañiza,1,0
3,A Cañiza,Pontevedra,15.9,1.8,8.8,18.0,13.0,0.0,0.0,0.0,0.0,0.0,2019-01-04,14.1,11.6,4.300000000000001,0,False,A Cañiza,1,0
4,A Cañiza,Pontevedra,16.2,3.2,9.7,18.0,13.0,0.0,0.0,0.0,0.0,0.0,2019-01-05,13.0,10.8,5.399999999999999,0,False,A Cañiza,1,0
5,A Cañiza,Pontevedra,17.5,2.2,9.9,18.0,13.0,0.0,0.0,0.0,0.0,0.0,2019-01-06,15.3,9.5,8.0,0,False,A Cañiza,1,0
6,A Cañiza,Pontevedra,15.2,1.6,8.4,18.0,13.0,0.0,0.0,0.0,0.0,0.0,2019-01-07,13.6,14.5,0.6999999999999993,0,False,A Cañiza,1,0
7,A Cañiza,Pontevedra,14.1,0.9,7.5,18.0,13.0,0.0,0.0,0.0,0.0,0.0,2019-01-08,13.2,5.9,8.2,0,False,A Cañiza,1,0
8,A Cañiza,Pontevedra,13.0,0.4,6.7,18.0,13.0,0.0,0.0,0.0,0.0,0.0,2019-01-09,12.6,8.5,4.5,0,False,A Cañiza,1,0
9,A Cañiza,Pontevedra,10.6,2.4,6.5,18.0,13.0,0.0,0.0,0.0,0.0,0.0,2019-01-10,8.2,11.7,-1.0999999999999996,0,False,A Cañiza,1,0
10,A Cañiza,Pontevedra,10.1,2.0,6.1,18.0,13.0,0.0,0.0,0.0,0.0,0.0,2019-01-11,8.1,15.7,-5.6,0,False,A Cañiza,1,0
11,A Cañiza,Pontevedra,11.3,0.1,5.7,18.0,13.0,0.0,0.0,0.0,0.0,0.0,2019-01-12,11.200000000000001,15.9,-4.6,0,False,A Cañiza,1,0
12,A Cañiza,Pontevedra,11.7,1.6,6.6,18.0,13.0,0.0,0.0,0.0,0.0,0.0,2019-01-13,10.1,8.1,3.5999999999999996,0,False,A Cañiza,1,0
13,A Cañiza,Pontevedra,11.2,1.5,6.3,18.0,13.0,0.0,0.0,0.0,0.0,0.0,2019-01-14,9.7,10.6,0.5999999999999996,0,False,A Cañiza,1,0
14,A Cañiza,Pontevedra,13.9,2.6,8.2,18.0,13.0,0.0,0.0,0.0,0.0,0.0,2019-01-15,11.3,10.1,3.8000000000000007,0,False,A Cañiza,1,0
15,A Cañiza,Pontevedra,8.1,5.7,6.9,18.0,13.0,1.8,0.0,0.0,1.2,0.6,2019-01-16,2.3999999999999995,9.4,-1.3000000000000007,1,True,A Cañiza,2,1
16,A Cañiza,Pontevedra,9.5,1.7,5.6,18.0,13.0,0.2,0.2,0.0,0.0,0.0,2019-01-17,7.8,10.6,-1.0999999999999996,1,False,A Cañiza,2,2
17,A Cañiza,Pontevedra,5.9,1.5,3.7,18.0,13.0,3.0,0.0,1.8,0.8,0.4,2019-01-18,4.4,,,1,False,A Cañiza,2,3
18,A Cañiza,Pontevedra,10.3,5.1,7.7,18.0,13.0,30.6,0.4,7.6,18.2,4.4,2019-01-19,5.200000000000001,14.1,-3.799999999999999,1,False,A Cañiza,2,4
19,A Cañiza,Pontevedra,9.5,4.5,7.0,18.0,13.0,0.4,0.0,0.2,0.2,0.0,2019-01-20,5.0,13.9,-4.4,1,False,A Cañiza,2,5
20,A Cañiza,Pontevedra,9.4,3.2,6.3,18.0,13.0,0.0,0.0,0.0,0.0,0.0,2019-01-21,6.2,11.3,-1.9000000000000004,0,True,A Cañiza,3,0
21,A Cañiza,Pontevedra,8.5,4.2,6.3,18.0,13.0,8.8,0.0,2.4,5.0,1.4,2019-01-22,4.3,10.3,-1.8000000000000007,1,True,A Cañiza,4,1
22,A Cañiza,Pontevedra,10.6,6.4,8.5,18.0,13.0,6.0,2.8,2.0,1.0,0.2,2019-01-23,4.199999999999999,13.5,-2.9000000000000004,1,False,A Cañiza,4,2
23,A Cañiza,Pontevedra,14.1,8.8,11.5,18.0,13.0,0.0,0.0,0.0,0.0,0.0,2019-01-24,5.299999999999999,13.0,1.0999999999999996,0,True,A Cañiza,5,0
24,A Cañiza,Pontevedra,13.5,5.6,9.5,18.0,13.0,0.0,0.0,0.0,0.0,0.0,2019-01-25,7.9,9.4,4.1,0,False,A Cañiza,5,0
25,A Cañiza,Pontevedra,15.7,2.1,8.9,18.0,13.0,0.0,0.0,0.0,0.0,0.0,2019-01-26,13.6,10.6,5.1,0,False,A Cañiza,5,0
26,A Cañiza,Pontevedra,10.8,3.4,7.1,18.0,13.0,1.4,1.0,0.4,0.0,0.0,2019-01-27,7.4,10.6,0.20000000000000107,1,True,A Cañiza,6,1
27,A Cañiza,Pontevedra,10.6,5.1,7.9,18.0,13.0,7.0,2.2,4.6,0.2,0.0,2019-01-28,5.5,17.5,-6.9,1,False,A Cañiza,6,2
28,A Cañiza,Pontevedra,9.4,3.8,6.6,18.0,13.0,17.8,0.4,8.2,9.0,0.2,2019-01-29,5.6000000000000005,9.5,-0.09999999999999964,1,False,A Cañiza,6,3
29,A Cañiza,Pontevedra,10.6,1.5,6.1,18.0,13.0,41.4,0.0,1.2,15.4,24.8,2019-01-30,9.1,17.0,-6.4,1,False,A Cañiza,6,4
30,A Cañiza,Pontevedra,10.8,5.5,8.2,18.0,13.0,76.8,32.4,18.6,23.8,2.0,2019-01-31,5.300000000000001,14.1,-3.299999999999999,1,False,A Cañiza,6,5
31,A Coruña,A Coruña,13.9,5.1,9.5,15.0,10.0,0.0,0.0,0.0,0.0,0.0,2019-01-01,8.8,12.2,1.700000000000001,0,True,A Cañiza,7,0
32,A Coruña,A Coruña,12.3,6.0,9.2,37.0,24.0,0.0,0.0,0.0,0.0,0.0,2019-01-02,6.300000000000001,13.7,-1.3999999999999986,0,False,A Coruña,7,0
33,A Coruña,A Coruña,13.6,4.6,9.1,16.0,11.0,0.0,0.0,0.0,0.0,0.0,2019-01-03,9.0,12.8,0.7999999999999989,0,False,A Coruña,7,0
34,A Coruña,A Coruña,14.4,3.3,8.8,19.0,12.0,0.0,0.0,0.0,0.0,0.0,2019-01-04,11.100000000000001,12.3,2.0999999999999996,0,False,A Coruña,7,0
35,A Coruña,A Coruña,12.8,3.6,8.2,18.0,13.0,0.0,0.0,0.0,0.0,0.0,2019-01-05,9.200000000000001,12.7,0.10000000000000142,0,False,A Coruña,7,0
36,A Coruña,A Coruña,13.9,3.7,8.8,24.0,17.0,0.0,0.0,0.0,0.0,0.0,2019-01-06,10.2,12.4,1.5,0,False,A Coruña,7,0
37,A Coruña,A Coruña,12.2,4.4,8.3,33.0,19.0,0.0,0.0,0.0,0.0,0.0,2019-01-07,7.799999999999999,13.6,-1.4000000000000004,0,False,A Coruña,7,0
38,A Coruña,A Coruña,12.6,4.7,8.7,40.0,25.0,0.0,0.0,0.0,0.0,0.0,2019-01-08,7.8999999999999995,11.8,0.7999999999999989,0,False,A Coruña,7,0
39,A Coruña,A Coruña,13.1,7.4,10.3,41.0,28.0,0.0,0.0,0.0,0.0,0.0,2019-01-09,5.699999999999999,11.3,1.799999999999999,0,False,A Coruña,7,0
40,A Coruña,A Coruña,12.1,8.3,10.2,47.0,31.0,0.0,0.0,0.0,0.0,0.0,2019-01-10,3.799999999999999,12.1,0.0,0,False,A Coruña,7,0
41,A Coruña,A Coruña,12.1,7.1,9.6,44.0,31.0,0.0,0.0,0.0,0.0,0.0,2019-01-11,5.0,13.2,-1.0999999999999996,0,False,A Coruña,7,0
42,A Coruña,A Coruña,11.2,7.3,9.3,38.0,24.0,0.0,0.0,0.0,0.0,0.0,2019-01-12,3.8999999999999995,14.4,-3.200000000000001,0,False,A Coruña,7,0
43,A Coruña,A Coruña,12.1,9.1,10.6,35.0,22.0,0.0,0.0,0.0,0.0,0.0,2019-01-13,3.0,13.1,-1.0,0,False,A Coruña,7,0
44,A Coruña,A Coruña,12.9,8.5,10.7,35.0,19.0,0.0,0.0,0.0,0.0,0.0,2019-01-14,4.4,13.2,-0.29999999999999893,0,False,A Coruña,7,0
45,A Coruña,A Coruña,14.3,6.3,10.3,16.0,11.0,0.0,0.0,0.0,0.0,0.0,2019-01-15,8.0,12.1,2.200000000000001,0,False,A Coruña,7,0
46,A Coruña,A Coruña,13.1,10.1,11.6,36.0,20.0,2.8,0.0,1.0,1.0,0.8,2019-01-16,3.0,12.3,0.7999999999999989,1,True,A Coruña,8,1
47,A Coruña,A Coruña,12.4,7.7,10.0,46.0,18.0,5.4,0.0,5.4,0.0,0.0,2019-01-17,4.7,12.1,0.3000000000000007,1,False,A Coruña,8,2
48,A Coruña,A Coruña,11.8,7.6,9.7,38.0,21.0,5.8,0.6,3.6,0.2,1.4,2019-01-18,4.200000000000001,,,1,False,A Coruña,8,3
49,A Coruña,A Coruña,13.6,9.6,11.6,58.0,43.0,22.6,1.6,6.8,13.8,0.4,2019-01-19,4.0,12.6,1.0,1,False,A Coruña,8,4
50,A Coruña,A Coruña,12.6,10.1,11.4,48.0,28.0,2.0,0.4,0.8,0.6,0.2,2019-01-20,2.5,14.3,-1.700000000000001,1,False,A Coruña,8,5
51,A Coruña,A Coruña,12.6,8.8,10.7,39.0,28.0,2.0,0.2,1.6,0.0,0.2,2019-01-21,3.799999999999999,11.2,1.4000000000000004,1,False,A Coruña,8,6
52,A Coruña,A Coruña,11.3,9.4,10.3,61.0,35.0,8.0,0.2,1.4,0.0,6.4,2019-01-22,1.9000000000000004,13.6,-2.299999999999999,1,False,A Coruña,8,7
53,A Coruña,A Coruña,12.8,10.8,11.8,69.0,41.0,8.6,2.0,2.8,2.4,1.4,2019-01-23,2.0,12.6,0.20000000000000107,1,False,A Coruña,8,8
54,A Coruña,A Coruña,12.7,11.4,12.0,45.0,30.0,3.0,1.6,0.2,0.4,0.8,2019-01-24,1.299999999999999,13.1,-0.40000000000000036,1,False,A Coruña,8,9
55,A Coruña,A Coruña,12.6,9.4,11.0,30.0,20.0,0.4,0.4,0.0,0.0,0.0,2019-01-25,3.1999999999999993,12.6,0.0,1,False,A Coruña,8,10
56,A Coruña,A Coruña,13.2,6.1,9.6,49.0,26.0,3.8,0.0,0.0,0.0,3.8,2019-01-26,7.1,12.8,0.3999999999999986,1,False,A Coruña,8,11
57,A Coruña,A Coruña,12.7,9.7,11.2,60.0,38.0,0.2,0.0,0.2,0.0,0.0,2019-01-27,3.0,13.1,-0.40000000000000036,1,False,A Coruña,8,12
58,A Coruña,A Coruña,13.1,10.1,11.6,51.0,30.0,4.0,1.0,3.0,0.0,0.0,2019-01-28,3.0,13.9,-0.8000000000000007,1,False,A Coruña,8,13
59,A Coruña,A Coruña,12.3,8.4,10.3,70.0,39.0,5.0,0.4,3.6,0.4,0.6,2019-01-29,3.9000000000000004,12.6,-0.29999999999999893,1,False,A Coruña,8,14
60,A Coruña,A Coruña,13.2,8.2,10.7,66.0,35.0,13.8,0.0,0.0,5.8,8.0,2019-01-30,5.0,13.9,-0.7000000000000011,1,False,A Coruña,8,15
61,A Coruña,A Coruña,13.7,8.9,11.3,67.0,37.0,17.2,6.0,9.2,0.6,1.4,2019-01-31,4.799999999999999,12.7,1.0,1,False,A Coruña,8,16
62,A Coruña Aeropuerto,A Coruña,14.2,0.0,7.1,24.0,15.0,0.0,0.0,0.0,0.0,0.0,2019-01-01,14.2,11.9,2.299999999999999,0,True,A Coruña,9,0
